data_id,data_field,category_id,category_field,Participants,Value Type,Sexed,Debut,Item count,Item Type,Instances,Version,Stability,Strata,Array,level1,level2,level3,level4,level5,level6,level7,level8
22415,Total adipose tissue volume,149,Abdominal composition,"8,524","Continuous, litres",Both sexes,Mar 2019,"8,524",Data,Defined (1),Mar 2019,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22416,Total lean tissue volume,149,Abdominal composition,"8,524","Continuous, litres",Both sexes,Mar 2019,"8,524",Data,Defined (1),Mar 2019,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22408,Abdominal subcutaneous adipose tissue volume (ASAT),149,Abdominal composition,"9,979","Continuous, litres",Both sexes,Sep 2015,"9,979",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22407,Visceral adipose tissue volume (VAT),149,Abdominal composition,"9,978","Continuous, litres",Both sexes,Sep 2015,"9,978",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22409,Total thigh muscle volume,149,Abdominal composition,"9,812","Continuous, litres",Both sexes,Jan 2017,"9,812",Data,Defined (1),Jan 2020,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22405,Anterior thigh lean muscle volume (left),149,Abdominal composition,"5,793","Continuous, litres",Both sexes,Sep 2015,"5,793",Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22403,Anterior thigh lean muscle volume (right),149,Abdominal composition,"5,846","Continuous, litres",Both sexes,Sep 2015,"5,846",Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22406,Posterior thigh lean muscle volume (left),149,Abdominal composition,"5,793","Continuous, litres",Both sexes,Sep 2015,"5,793",Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22404,Posterior thigh lean muscle volume (right),149,Abdominal composition,"5,846","Continuous, litres",Both sexes,Sep 2015,"5,846",Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22412,Thigh error indicator (left),149,Abdominal composition,228,Categorical (multiple),Both sexes,Jan 2017,232,Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22413,Thigh error indicator (right),149,Abdominal composition,175,Categorical (multiple),Both sexes,Jan 2017,178,Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22411,VAT/ASAT error indicator,149,Abdominal composition,25,Categorical (single),Both sexes,Jan 2017,25,Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
22414,Image quality indicator,149,Abdominal composition,82,Categorical (single),Both sexes,Jan 2017,83,Data,Defined (1),Oct 2017,Accruing,UK Biobank Assessment Centre,Imaging,Abdominal MRI,Abdominal composition,0.0,0.0,0.0,0.0,0.0,0.0
90012,Overall acceleration average,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90013,Standard deviation of acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90027,Average acceleration 00:00 - 00:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90028,Average acceleration 01:00 - 01:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90029,Average acceleration 02:00 - 02:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90030,Average acceleration 03:00 - 03:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90031,Average acceleration 04:00 - 04:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90032,Average acceleration 05:00 - 05:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90033,Average acceleration 06:00 - 06:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90034,Average acceleration 07:00 - 07:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90035,Average acceleration 08:00 - 08:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90036,Average acceleration 09:00 - 09:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90037,Average acceleration 10:00 - 10:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90038,Average acceleration 11:00 - 11:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90039,Average acceleration 12:00 - 12:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90040,Average acceleration 13:00 - 13:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90041,Average acceleration 14:00 - 14:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90042,Average acceleration 15:00 - 15:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90043,Average acceleration 16:00 - 16:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90044,Average acceleration 17:00 - 17:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90045,Average acceleration 18:00 - 18:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90046,Average acceleration 19:00 - 19:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90047,Average acceleration 20:00 - 20:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90048,Average acceleration 21:00 - 21:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90049,Average acceleration 22:00 - 22:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90050,Average acceleration 23:00 - 23:59,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90019,Monday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90020,Tuesday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90021,Wednesday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90022,Thursday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90023,Friday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90024,Saturday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90025,Sunday average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90087,No-wear time bias adjusted average acceleration,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90088,No-wear time bias adjusted acceleration standard deviation,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90091,No-wear time bias adjusted acceleration maximum,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90090,No-wear time bias adjusted acceleration minimum,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90089,No-wear time bias adjusted acceleration median,1009,Acceleration averages,"103,687","Continuous, milli-gravity",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration averages,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90092,Fraction acceleration <= 1 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90093,Fraction acceleration <= 2 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90094,Fraction acceleration <= 3 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90095,Fraction acceleration <= 4 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90096,Fraction acceleration <= 5 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90097,Fraction acceleration <= 6 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90098,Fraction acceleration <= 7 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90099,Fraction acceleration <= 8 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90100,Fraction acceleration <= 9 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90101,Fraction acceleration <= 10 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90102,Fraction acceleration <= 11 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90103,Fraction acceleration <= 12 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90104,Fraction acceleration <= 13 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90105,Fraction acceleration <= 14 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90106,Fraction acceleration <= 15 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90107,Fraction acceleration <= 16 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90108,Fraction acceleration <= 17 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90109,Fraction acceleration <= 18 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90110,Fraction acceleration <= 19 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90111,Fraction acceleration <= 20 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90112,Fraction acceleration <= 25 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90113,Fraction acceleration <= 30 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90114,Fraction acceleration <= 35 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90115,Fraction acceleration <= 40 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90116,Fraction acceleration <= 45 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90117,Fraction acceleration <= 50 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90118,Fraction acceleration <= 55 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90119,Fraction acceleration <= 60 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90120,Fraction acceleration <= 65 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90121,Fraction acceleration <= 70 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90122,Fraction acceleration <= 75 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90123,Fraction acceleration <= 80 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90124,Fraction acceleration <= 85 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90125,Fraction acceleration <= 90 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90126,Fraction acceleration <= 95 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90127,Fraction acceleration <= 100 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90128,Fraction acceleration <= 125 milli-gravities,1010,Acceleration intensity distribution,"103,687","Continuous, Fraction",Both sexes,Nov 2015,"103,687",Data,Singular,Feb 2016,Accruing,Additional exposures,Physical activity measurement,Acceleration intensity distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
